Chamber,Depth,Colony,Egg.percent,Egg.present,Egg.num,Larvae.percent,Larvae.present,Larvae.num,Pupae.percent,Pupae.present,Pupae.num,Worker.percent,Worker.present,Worker.num,Queen.percent,Queen.present,Queen.num,Male.percent,Male.present,Male.num,Alate.percent,Alate.present,Alate.num,Seed.percent,Seed.present,Seed.num,ZAEKseed.percent,ZAEKseed.present,ZAEKseed.num
chamber1,6,SAR844,100,1,30,41.67,1,10,5.66,1,3,12.28,1,14,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
chamber2,8.5,SAR844,0,0,0,45.83,1,11,0,0,0,35.09,1,40,0,0,0,0,0,0,0,0,0,69.23,1,9,NA,NA,NA
chamber3,11.5,SAR844,0,0,0,12.5,1,3,88.68,1,47,49.12,1,56,0,0,0,0,0,0,0,0,0,30.77,1,4,NA,NA,NA
chamber4,13.2,SAR844,0,0,0,0,0,0,5.66,1,3,3.51,1,4,100,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
chamber5,NA,SAR844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber6,NA,SAR844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,8.5,SAR845,100,1,74,94.83,1,55,17.86,1,5,34.15,1,28,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
chamber2,10,SAR845,0,0,0,5.17,1,3,82.14,1,23,32.93,1,27,100,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA
chamber3,11.3,SAR845,0,0,0,0,0,0,0,0,0,15.85,1,13,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
chamber4,15.3,SAR845,0,0,0,0,0,0,0,0,0,12.2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
chamber5,NA,SAR845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber6,NA,SAR845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,13.2,SAR846,100,1,128,72.97,1,27,54.84,1,17,33.33,1,36,0,0,0,68.97,1,20,0,0,0,100,1,1,NA,NA,NA
chamber2,15.7,SAR846,0,0,0,0,0,0,9.68,1,3,2.78,1,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
chamber3,19.2,SAR846,0,0,0,27.03,1,10,12.9,1,4,37.04,1,40,100,1,3,31.03,1,9,50,1,1,0,0,0,NA,NA,NA
chamber4,21.7,SAR846,0,0,0,0,0,0,16.13,1,5,5.56,1,6,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
chamber5,22.7,SAR846,0,0,0,0,0,0,0,0,0,12.96,1,14,0,0,0,0,0,0,50,1,1,0,0,0,NA,NA,NA
chamber6,25.2,SAR846,0,0,0,0,0,0,0,0,0,3.7,1,4,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
chamber1,7.5,SAR867,100,1,13,100,1,39,100,1,14,66.67,1,16,100,1,2,0,0,0,0,0,0,0,0,0,NA,NA,NA
chamber2,9.5,SAR867,0,0,0,0,0,0,0,0,0,8.33,1,2,0,0,0,0,0,0,0,0,0,22.22,1,2,NA,NA,NA
chamber3,11.5,SAR867,0,0,0,0,0,0,0,0,0,20.83,1,5,0,0,0,0,0,0,0,0,0,77.78,1,7,NA,NA,NA
chamber4,NA,SAR867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber5,NA,SAR867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber6,NA,SAR867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,7.2,SAR868,90.91,1,10,54.17,1,13,25.64,1,10,11.48,1,7,0,0,0,52.63,1,10,58.33,1,7,0,0,0,NA,NA,NA
chamber2,9.7,SAR868,9.09,1,1,33.33,1,8,74.36,1,29,32.79,1,20,0,0,0,47.37,1,9,41.67,1,5,34.78,1,16,NA,NA,NA
chamber3,12.2,SAR868,0,0,0,12.5,1,3,0,0,0,34.43,1,21,0,0,0,0,0,0,0,0,0,54.35,1,25,NA,NA,NA
chamber4,NA,SAR868,0,0,0,0,0,0,0,0,0,6.56,1,4,0,0,0,0,0,0,0,0,0,10.87,1,5,NA,NA,NA
chamber5,NA,SAR868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber6,NA,SAR868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,8.8,SAR921,100,1,1,100,1,15,97.62,1,41,24.14,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chamber2,10.8,SAR921,0,0,0,0,0,0,2.38,1,1,75.86,1,22,0,0,0,0,0,0,0,0,0,0,0,0,100,1,5
chamber3,NA,SAR921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber4,NA,SAR921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber5,NA,SAR921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber6,NA,SAR921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,3.8,SAR922,0,0,0,0,0,0,0,1,6,2.86,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chamber2,5.7,SAR922,0,0,0,25,1,3,23.08,0,0,4.29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chamber3,6.7,SAR922,0,0,0,0,0,0,0,0,0,28.57,1,20,0,0,0,0,0,0,0,0,0,0,0,0,100,1,1
chamber4,6.5,SAR922,0,0,0,66.67,1,8,0,0,0,7.14,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chamber5,13.2,SAR922,0,0,0,8.33,1,1,96.92,1,20,54.29,1,38,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0
chamber6,NA,SAR922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,8.5,SAR923,100,1,23,88.54,1,85,41.67,1,10,36.84,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chamber2,10.5,SAR923,0,0,0,11.46,1,11,8.33,1,2,42.11,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chamber3,17.6,SAR923,0,0,0,0,0,0,50,1,12,10.53,1,4,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0
chamber4,NA,SAR923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber5,NA,SAR923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber6,NA,SAR923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,5.5,SAR944,100,1,11,83.78,1,31,100,1,23,46.15,1,18,100,1,4,0,0,0,0,0,0,0,0,0,42.86,1,6
chamber2,7,SAR944,0,0,0,16.22,1,6,0,0,0,51.28,1,20,0,0,0,0,0,0,0,0,0,0,0,0,50,1,7
chamber3,NA,SAR944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber4,NA,SAR944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber5,NA,SAR944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber6,NA,SAR944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,8.5,SAR945,0,0,0,26.98,1,17,50,0,29,28.33,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chamber2,11.8,SAR945,100,1,53,73.02,1,46,50,0,29,71.67,1,43,100,1,1,0,0,0,100,1,1,0,0,0,100,1,2
chamber3,NA,SAR945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber4,NA,SAR945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber5,NA,SAR945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber6,NA,SAR945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,8.8,SAR946,100,1,20,71.25,1,57,13.33,1,6,34.85,1,23,100,1,1,0,0,0,0,0,0,0,0,0,40,1,2
chamber2,9.8,SAR946,0,0,0,27.5,1,22,86.67,1,39,51.52,1,34,0,0,0,0,0,0,0,0,0,0,0,0,60,1,3
chamber3,18.3,SAR946,0,0,0,1.25,1,1,0,0,0,10.61,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chamber4,NA,SAR946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber5,NA,SAR946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber6,NA,SAR946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,5.6,SAR947,100,1,70,83.64,1,46,15.38,1,4,34.52,1,29,100,1,1,0,0,0,0,0,0,0,0,0,20,1,2
chamber2,9.1,SAR947,0,0,0,5.45,1,3,80.77,1,21,27.38,1,23,0,0,0,0,0,0,0,0,0,0,0,0,30,1,3
chamber3,15.6,SAR947,0,0,0,10.91,1,6,3.85,1,1,36.94,1,31,0,0,0,0,0,0,0,0,0,0,0,0,50,1,5
chamber4,NA,SAR947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber5,NA,SAR947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber6,NA,SAR947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chamber1,8.5,SAR843,0,0,0,1.19,1,1,38.28,1,49,9.68,1,18,0,0,0,42.86,1,9,0,0,0,0,0,0,NA,NA,NA
chamber2,10.9,SAR843,100,1,25,80.95,1,68,0,0,0,25.27,1,47,100,1,1,14.29,1,3,0,0,0,0,0,0,NA,NA,NA
chamber3,11.9,SAR843,0,0,0,16.67,1,14,15.625,1,20,22.04,1,41,0,0,0,38.1,1,8,0,0,0,0,0,0,NA,NA,NA
chamber4,22.7,SAR843,0,0,0,1.19,1,1,10.94,1,14,23.12,1,43,0,0,0,4.76,1,1,0,0,0,0,0,0,NA,NA,NA
chamber5,43.2,SAR843,0,0,0,0,0,0,35.16,1,45,18.82,1,35,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
