Seed_species,file_name,Control_Colony,groupID,Chamber,total_SA,Darea_1,D_area2,D_area3,D_area4,D_area5,Included_good_areas,Sum_damage,Seed_damage_percent,notes1,notes2
Zan,ZaEk_2014_vial19_seed_1,Control,1,Control,13.263,2.358,,,,,,2.358,17.779,,
Zan,ZaEk_2014_vial19_seed_2,Control,2,Control,15.43,0.839,,,,,,0.839,5.437,,
Zan,ZaEk_2014_vial19_seed_3,Control,3,Control,13.618,0.375,,,,,,0.375,2.754,,
Zan,ZaEk_2014_vial19_seed_4,Control,4,Control,12.838,0.258,,,,,,0.258,2.010,,
Zan,ZaEk_2014_vial19_seed_5,Control,5,Control,13.761,0.333,0.1,,,,,0.433,3.147,,
Zan,ZaEk_2014_vial19_seed_6,Control,6,Control,14.117,0.908,0.293,0.177,,,,1.378,9.761,,
Zan,ZaEk_2014_vial19_seed_7,Control,7,Control,13.616,0.285,,,,,,0.285,2.093,,
Zan,ZaEk_2014_vial19_seed_8,Control,8,Control,15.289,1.279,0.068,,,,,1.347,8.810,,
Zan,ZaEk_2014_vial19_seed_9,Control,9,Control,13.71,0.363,0.157,,,,,0.52,3.793,,
Zan,ZaEk_2014_vial20_seed_1,Control,10,Control,14.322,0.363,,,,,,0.363,2.535,,
Zan,ZaEk_2014_vial20_seed_2,Control,11,Control,15.192,1.429,,,,,,1.429,9.406,,
Zan,ZaEk_2014_vial20_seed_3,Control,12,Control,15.131,,,,,,,0,0.000,,
Zan,ZaEk_2014_vial20_seed_4,Control,13,Control,14.602,,,,,,,0,0.000,,
Zan,ZaEk_2014_vial20_seed_5,Control,14,Control,16.489,,,,,,,0,0.000,,
Zan,ZaEk_2014_vial20_seed_6,Control,15,Control,13.969,1.672,0.044,,,,,1.716,12.284,,
Zan,ZaEk_2014_vial20_seed_7,Control,16,Control,13.587,0.108,0.12,0.04,,,,0.268,1.972,,
Zan,ZaEk_2015_vial16_seed_1,Control,17,Control,11.377,0.047,0.083,,,,,0.13,1.143,,
Zan,ZaEk_2015_vial16_seed_2,Control,18,Control,10.815,1.864,0.043,0.033,,,,1.94,17.938,,
Zan,ZaEk_2015_vial16_seed_3,Control,19,Control,11.272,1.954,1.148,,,,,3.102,27.520,,
Zan,ZaEk_2015_vial16_seed_4,Control,20,Control,11.062,0.989,0.338,0.033,0.04,0.007,,1.407,12.719,,
Zan,ZaEk_2015_vial16_seed_5,Control,21,Control,11.265,0.103,0.049,0.047,,,,0.199,1.767,,
Zan,ZaEk_2015_vial17_seed_1,Control,22,Control,11.537,0.204,0.123,,,,,0.327,2.834,,
Zan,ZaEk_2015_vial17_seed_2,Control,23,Control,12.841,1.216,0.312,0.075,,,,1.603,12.483,,
Zan,ZaEk_2015_vial17_seed_3,Control,24,Control,12.244,1.585,,,,,,1.585,12.945,,
