Depth_cm,Replicate,Num_seeds_buried,Num_seeds_emerged,Prop_emerged,Mass_soil,Soil_autoclaved,Holes
0,1,6,4,0.666666667,18.0041,no,no
0,2,6,3,0.5,19.392,no,no
0,3,6,0,0,20.1439,no,no
0,4,6,1,0.166666667,21.4237,no,no
2,1,6,1,0.166666667,25.2256,no,no
2,2,6,0,0,28.6454,no,no
2,3,6,0,0,28.071,no,no
2,4,6,0,0,28.738,no,no
2,5,6,3,0.5,28.8139,no,no
2,6,6,0,0,29.866,yes,no
2,7,6,2,0.333333333,30.0677,yes,no
2,8,6,2,0.333333333,28.6755,yes,no
2,9,6,4,0.666666667,28.9733,yes,no
2,10,6,1,0.166666667,28.0315,yes,yes
2,11,6,2,0.333333333,28.125,yes,yes
2,12,6,1,0.166666667,29.0753,yes,yes
2,13,6,5,0.833333333,27.9917,yes,no
2,14,6,6,1,27.3996,yes,yes
5,1,6,1,0.166666667,36.0596,no,no
5,2,6,0,0,40.1099,no,no
5,3,6,0,0,38.4456,no,no
5,4,6,0,0,41.6345,no,no
5,5,6,0,0,40.9793,yes,no
5,6,6,0,0,43.5821,yes,no
5,7,6,0,0,40.7859,yes,no
5,8,6,0,0,42.1648,yes,no
5,9,6,0,0,39.7289,yes,yes
5,10,6,0,0,41.5262,yes,yes
5,11,5,0,0,40.1624,yes,yes
5,12,5,0,0,41.1198,yes,yes
7,1,6,0,0,43.4148,no,no
7,2,6,0,0,47.4329,no,no
7,3,6,0,0,46.2586,no,no
7,4,5,0,0,48.2408,no,no
7,5,6,0,0,49.2343,yes,no
7,6,6,0,0,49.2632,yes,no
7,7,6,0,0,49.8847,yes,no
7,8,6,0,0,52.8796,yes,no
